doc_uid,pmid,title,year,period,time_block,topic,node,mention_count,category,layer,type
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,clinical_trial,7,Clinical_Operations,Operational,Clinical Trial
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,data_integrity,1,Data,Governance,Data Integrity
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,roles_responsibilities,1,Governance,Governance,Roles and Responsibilities
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,quality_assurance,1,RBQM,Operational,Quality Assurance
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,corrective_preventive_action,1,Governance,Operational,CAPA
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,oversight,1,Clinical_Operations,Governance,Oversight
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,data_quality,1,Data,Quality,Data Quality
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,adverse_event_reporting,1,Data,Safety,AE Reporting
26908541,26908541,"Lessons learned: Infrastructure development and financial management for large, publicly funded, international trials.",2016,Pre-COVID,2015-2019,1,clinical_trial,7,Clinical_Operations,Operational,Clinical Trial
26908541,26908541,"Lessons learned: Infrastructure development and financial management for large, publicly funded, international trials.",2016,Pre-COVID,2015-2019,1,data_integrity,1,Data,Governance,Data Integrity
26908541,26908541,"Lessons learned: Infrastructure development and financial management for large, publicly funded, international trials.",2016,Pre-COVID,2015-2019,1,governance,1,Governance,Governance,Governance
26908541,26908541,"Lessons learned: Infrastructure development and financial management for large, publicly funded, international trials.",2016,Pre-COVID,2015-2019,1,accountability,1,Governance,Governance,Accountability
26908541,26908541,"Lessons learned: Infrastructure development and financial management for large, publicly funded, international trials.",2016,Pre-COVID,2015-2019,1,centralized_monitoring,1,Monitoring,Operational,Central Monitoring
